Account Description,Debit Amount,Credit Amount,Donors,date
LL Donors,"1,031.00000",0.00000,"1,031.00",2019-07-01
SM Donors,"5,259.00000",0.00000,"5,259.00",
SM Donors,"4,552.00000",0.00000,"4,552.00",
SM Donors,"4,381.00000",0.00000,"4,381.00",
SM Donors,"6,699.00000",0.00000,"6,699.00",
SM Donors,"5,013.00000",0.00000,"5,013.00",
SM Donors,"4,397.00000",0.00000,"4,397.00",
SM Donors,"5,401.00000",150.00000,"5,251.00",
SM Donors,"4,810.00000",0.00000,"4,810.00",
SM Donors,"5,993.00000",0.00000,"5,993.00",
SM Donors,"7,027.00000",0.00000,"7,027.00",
SM Donors,"5,476.00000",0.00000,"5,476.00",
SM Donors,"6,092.00000",0.00000,"6,092.00",
ROS Donors,"1,033.00000",0.00000,"1,033.00",2021-06-01
CLV Donors,"1,033.00000",0.00000,"1,033.00",2019-10-01
CLV Donors,"1,068.00000",35.00000,"1,033.00",2021-10-01
SM Donors,"5,311.00000",0.00000,"5,311.00",
SM Donors,"4,528.00000",0.00000,"4,528.00",
SM Donors,"4,442.00000",0.00000,"4,442.00",
SM Donors,"4,406.00000",0.00000,"4,406.00",
CLV Donors,"1,033.00000",0.00000,"1,033.00",2022-05-01
LL Donors,"1,036.00000",0.00000,"1,036.00",2019-12-01
LL Donors,"1,037.00000",0.00000,"1,037.00",2019-06-01
CLV Donors,"1,041.00000",0.00000,"1,041.00",2022-10-01
SM Donors,"4,378.00000",0.00000,"4,378.00",
SM Donors,"4,504.00000",0.00000,"4,504.00",
SM Donors,"4,970.00000",0.00000,"4,970.00",
SM Donors,"4,432.00000",0.00000,"4,432.00",
SM Donors,"4,264.00000",0.00000,"4,264.00",
SM Donors,"4,216.00000",0.00000,"4,216.00",
Donors - GoodDeeds,"1,043.00000",0.00000,"1,043.00",2019-01-01
Donors - GoodDeeds,"1,043.00000",0.00000,"1,043.00",2020-01-01
Donors - GoodDeeds,"1,050.00000",0.00000,"1,050.00",2019-02-01
