Account Description,Debit Amount,Credit Amount,Donors,date
BN Donors,"2,001.00000",0.00000,"2,001.00",2019-03-01
ALA Donors,"2,007.00000",0.00000,"2,007.00",2019-10-01
ALA Donors,"2,008.00000",0.00000,"2,008.00",2021-11-01
ROS Donors,607.00000,0.00000,607.00,
ROS Donors,478.00000,0.00000,478.00,
GLP Donors,"2,010.00000",0.00000,"2,010.00",2022-08-01
ALA Donors,"2,011.00000",0.00000,"2,011.00",2023-09-01
ROS Donors,685.00000,0.00000,685.00,
GLP Donors,"2,028.00000",0.00000,"2,028.00",2023-04-01
ALA Donors,"2,028.00000",0.00000,"2,028.00",2021-08-01
GLP Donors,"2,032.00000",0.00000,"2,032.00",2022-12-01
GLP Donors,"2,037.00000",0.00000,"2,037.00",2021-08-01
GLP Donors,"2,038.00000",0.00000,"2,038.00",2024-01-01
GLP Donors,"2,042.00000",0.00000,"2,042.00",2023-09-01
ALA Donors,"2,051.00000",0.00000,"2,051.00",2023-12-01
GLP Donors,"2,052.00000",0.00000,"2,052.00",2024-03-01
GLP Donors,"2,055.00000",0.00000,"2,055.00",2020-09-01
BN Donors,"2,059.00000",0.00000,"2,059.00",2022-02-01
GLP Donors,"2,060.00000",0.00000,"2,060.00",2023-11-01
GLP Donors,"2,071.00000",0.00000,"2,071.00",2019-05-01
ALA Donors,"2,076.00000",0.00000,"2,076.00",2021-06-01
ALA Donors,"2,080.00000",0.00000,"2,080.00",2019-03-01
ALA Donors,"2,080.00000",0.00000,"2,080.00",2019-09-01
GLP Donors,"2,081.00000",0.00000,"2,081.00",2019-07-01
LL Donors,"2,090.00000",0.00000,"2,090.00",2020-06-01
ALA Donors,"2,093.00000",0.00000,"2,093.00",2019-05-01
GLP Donors,"2,114.00000",0.00000,"2,114.00",2023-12-01
BN Donors,"2,116.00000",0.00000,"2,116.00",2021-07-01
GLP Donors,"2,121.00000",0.00000,"2,121.00",2020-08-01
ALA Donors,"2,121.00000",0.00000,"2,121.00",2022-06-01
FRM Donors,"2,132.00000",0.00000,"2,132.00",2019-02-01
ALA Donors,"2,134.00000",0.00000,"2,134.00",2022-05-01
PDN Donors,"2,143.00000",0.00000,"2,143.00",2020-11-01
ALA Donors,"2,152.00000",0.00000,"2,152.00",2021-05-01
ALA Donors,"2,157.00000",0.00000,"2,157.00",2019-01-01
MNL Donors,"2,162.00000",0.00000,"2,162.00",2019-02-01
GLP Donors,"2,166.00000",0.00000,"2,166.00",2022-05-01
ALA Donors,"2,166.00000",0.00000,"2,166.00",2022-07-01
MNL Donors,"2,181.00000",0.00000,"2,181.00",2021-02-01
ALA Donors,"2,183.00000",0.00000,"2,183.00",2021-03-01
CC Donors,"2,184.00000",0.00000,"2,184.00",2019-09-01
ALA Donors,"2,185.00000",0.00000,"2,185.00",2022-09-01
GLP Donors,"2,188.00000",0.00000,"2,188.00",2021-06-01
GLP Donors,"2,192.00000",0.00000,"2,192.00",2019-08-01
ALA Donors,"2,194.00000",0.00000,"2,194.00",2024-01-01
ALA Donors,"2,197.00000",0.00000,"2,197.00",2023-08-01
RR Donors,"2,206.00000",0.00000,"2,206.00",2023-02-01
BN Donors,"2,212.00000",0.00000,"2,212.00",2020-02-01
BN Donors,"2,212.00000",0.00000,"2,212.00",2023-02-01
GLP Donors,"2,219.00000",0.00000,"2,219.00",2022-03-01
ALA Donors,"2,220.00000",0.00000,"2,220.00",2019-07-01
GLP Donors,"2,228.00000",0.00000,"2,228.00",2024-04-01
CER Donors,"2,229.00000",0.00000,"2,229.00",2024-02-01
CER Donors,"2,234.00000",0.00000,"2,234.00",2022-02-01
ALA Donors,"2,238.00000",0.00000,"2,238.00",2023-02-01
GLP Donors,"2,243.00000",0.00000,"2,243.00",2023-08-01
CLV Donors,611.00000,0.00000,611.00,
CLV Donors,563.00000,0.00000,563.00,
ALA Donors,"2,243.00000",0.00000,"2,243.00",2022-08-01
ALA Donors,"2,245.00000",0.00000,"2,245.00",2022-11-01
BN Donors,"2,249.00000",0.00000,"2,249.00",2019-05-01
GLP Donors,"2,250.00000",0.00000,"2,250.00",2021-04-01
ALA Donors,"2,252.00000",0.00000,"2,252.00",2022-12-01
CLV Donors,556.00000,0.00000,556.00,
GLP Donors,"2,257.00000",0.00000,"2,257.00",2022-06-01
BN Donors,"2,261.00000",0.00000,"2,261.00",2019-11-01
ALA Donors,"2,262.00000",0.00000,"2,262.00",2020-12-01
CC Donors,"2,272.00000",0.00000,"2,272.00",2020-11-01
GLP Donors,"2,275.00000",0.00000,"2,275.00",2022-07-01
CLV Donors,"2,277.00000",0.00000,"2,277.00",2020-09-01
GLP Donors,"2,283.00000",0.00000,"2,283.00",2020-07-01
ALA Donors,"2,284.00000",0.00000,"2,284.00",2023-04-01
CER Donors,"2,287.00000",0.00000,"2,287.00",2024-03-01
CC Donors,"2,287.00000",0.00000,"2,287.00",2023-11-01
GLP Donors,"2,287.00000",0.00000,"2,287.00",2019-06-01
CLV Donors,"2,300.00000",0.00000,"2,300.00",2020-10-01
GLP Donors,"2,304.00000",0.00000,"2,304.00",2022-09-01
ALA Donors,"2,305.00000",0.00000,"2,305.00",2022-01-01
ALA Donors,"2,309.00000",0.00000,"2,309.00",2023-03-01
CER Donors,"2,310.00000",0.00000,"2,310.00",2023-12-01
RB Donors,"2,316.00000",0.00000,"2,316.00",2019-08-01
RR Donors,"2,320.00000",0.00000,"2,320.00",2022-02-01
ALA Donors,"2,322.00000",0.00000,"2,322.00",2021-07-01
CC Donors,"2,324.00000",0.00000,"2,324.00",2020-02-01
CER Donors,"2,329.00000",0.00000,"2,329.00",2019-11-01
SM Donors,"2,335.00000",0.00000,"2,335.00",2020-11-01
ALA Donors,"2,336.00000",0.00000,"2,336.00",2022-10-01
GLP Donors,"2,348.00000",0.00000,"2,348.00",2024-05-01
ALA Donors,"2,350.00000",0.00000,"2,350.00",2020-06-01
CER Donors,"2,352.00000",0.00000,"2,352.00",2019-02-01
GLP Donors,"2,388.00000",0.00000,"2,388.00",2021-03-01
CER Donors,"2,391.00000",0.00000,"2,391.00",2021-02-01
CC Donors,"2,413.00000",0.00000,"2,413.00",2019-10-01
ALA Donors,"2,413.00000",0.00000,"2,413.00",2022-03-01
ALA Donors,"2,431.00000",0.00000,"2,431.00",2023-10-01
CC Donors,"2,433.00000",0.00000,"2,433.00",2019-11-01
CER Donors,"2,436.00000",0.00000,"2,436.00",2024-04-01
RR Donors,"2,438.00000",0.00000,"2,438.00",2019-02-01
ALA Donors,"2,465.00000",0.00000,"2,465.00",2023-07-01
FRM Donors,"2,469.00000",0.00000,"2,469.00",2020-12-01
CC Donors,"2,470.00000",0.00000,"2,470.00",2019-02-01
BN Donors,"2,474.00000",0.00000,"2,474.00",2019-10-01
BN Donors,"2,481.00000",0.00000,"2,481.00",2022-11-01
MNL Donors,"2,482.00000",0.00000,"2,482.00",2021-03-01
BN Donors,"2,486.00000",0.00000,"2,486.00",2022-05-01
RR Donors,"2,493.00000",0.00000,"2,493.00",2020-05-01
MNL Donors,"2,495.00000",0.00000,"2,495.00",2024-02-01
BN Donors,"2,496.00000",0.00000,"2,496.00",2019-06-01
CER Donors,"2,498.00000",0.00000,"2,498.00",2023-11-01
CER Donors,"2,502.00000",0.00000,"2,502.00",2024-01-01
SM Donors,"2,504.00000",0.00000,"2,504.00",2021-03-01
RR Donors,"2,512.00000",0.00000,"2,512.00",2020-03-01
MNL Donors,"2,513.00000",0.00000,"2,513.00",2021-04-01
BN Donors,"2,513.00000",0.00000,"2,513.00",2020-05-01
CER Donors,"2,521.00000",0.00000,"2,521.00",2023-09-01
BN Donors,"2,526.00000",0.00000,"2,526.00",2019-08-01
BN Donors,"2,526.00000",0.00000,"2,526.00",2023-01-01
MNL Donors,"2,530.00000",0.00000,"2,530.00",2019-09-01
BN Donors,"2,530.00000",0.00000,"2,530.00",2023-03-01
FRM Donors,"2,539.00000",0.00000,"2,539.00",2021-02-01
RR Donors,"2,543.00000",0.00000,"2,543.00",2022-11-01
FRM Donors,"2,545.00000",0.00000,"2,545.00",2020-02-01
CER Donors,"2,553.00000",0.00000,"2,553.00",2022-04-01
BN Donors,"2,558.00000",0.00000,"2,558.00",2024-04-01
BN Donors,"2,562.00000",0.00000,"2,562.00",2019-09-01
MNL Donors,"2,566.00000",0.00000,"2,566.00",2024-03-01
FRM Donors,"4,464.00000",0.00000,"4,464.00",
BN Donors,"2,574.00000",0.00000,"2,574.00",2022-06-01
PDN Donors,"2,578.00000",0.00000,"2,578.00",2020-03-01
MNL Donors,"2,579.00000",0.00000,"2,579.00",2019-11-01
GLP Donors,"2,581.00000",0.00000,"2,581.00",2021-01-01
MNL Donors,"2,584.00000",0.00000,"2,584.00",2024-04-01
CER Donors,"2,584.00000",0.00000,"2,584.00",2021-11-01
BN Donors,"2,591.00000",0.00000,"2,591.00",2022-12-01
GLP Donors,"2,595.00000",0.00000,"2,595.00",2023-05-01
BN Donors,"2,599.00000",0.00000,"2,599.00",2023-04-01
ALA Donors,"2,604.00000",0.00000,"2,604.00",2020-07-01
FRM Donors,"4,594.00000",0.00000,"4,594.00",
BN Donors,"2,608.00000",0.00000,"2,608.00",2019-07-01
RR Donors,"2,610.00000",0.00000,"2,610.00",2019-03-01
FRM Donors,"4,625.00000",0.00000,"4,625.00",
FRM Donors,"5,057.00000",0.00000,"5,057.00",
Espanola Donors,"2,618.00000",0.00000,"2,618.00",2022-09-01
BN Donors,"2,628.00000",0.00000,"2,628.00",2020-01-01
CER Donors,"2,632.00000",0.00000,"2,632.00",2023-10-01
GLP Donors,"2,635.00000",0.00000,"2,635.00",2021-05-01
MNL Donors,"2,645.00000",0.00000,"2,645.00",2019-01-01
CER Donors,"2,646.00000",0.00000,"2,646.00",2022-01-01
CER Donors,"2,647.00000",0.00000,"2,647.00",2021-03-01
CER Donors,"2,648.00000",0.00000,"2,648.00",2023-02-01
ALA Donors,"2,649.00000",0.00000,"2,649.00",2023-06-01
FRM Donors,"5,031.00000",0.00000,"5,031.00",
FRM Donors,"5,425.00000",0.00000,"5,425.00",
FRM Donors,"5,425.00000",0.00000,"5,425.00",
FRM Donors,"4,859.00000",0.00000,"4,859.00",
GLP Donors,"2,657.00000",0.00000,"2,657.00",2023-07-01
RR Donors,"2,663.00000",0.00000,"2,663.00",2024-04-01
FRM Donors,"4,235.00000",0.00000,"4,235.00",
FRM Donors,"4,692.00000",0.00000,"4,692.00",
PDN Donors,"4,226.00000",0.00000,"4,226.00",
BN Donors,"2,671.00000",0.00000,"2,671.00",2024-05-01
PDN Donors,"2,674.00000",0.00000,"2,674.00",2021-11-01
ALA Donors,"2,687.00000",0.00000,"2,687.00",2023-01-01
PDN Donors,"4,456.00000",0.00000,"4,456.00",
PDN Donors,"4,608.00000",0.00000,"4,608.00",
PDN Donors,"5,152.00000",0.00000,"5,152.00",
PDN Donors,"5,590.00000",0.00000,"5,590.00",
PDN Donors,"5,058.00000",0.00000,"5,058.00",
PDN Donors,"4,698.00000",0.00000,"4,698.00",
PDN Donors,"4,584.00000",0.00000,"4,584.00",
PDN Donors,"5,154.00000",0.00000,"5,154.00",
PDN Donors,"5,455.00000",0.00000,"5,455.00",
MNL Donors,"2,688.00000",0.00000,"2,688.00",2024-05-01
CC Donors,"2,690.00000",0.00000,"2,690.00",2019-07-01
CER Donors,"2,691.00000",0.00000,"2,691.00",2022-12-01
PDN Donors,"4,895.00000",0.00000,"4,895.00",
PDN Donors,"4,350.00000",0.00000,"4,350.00",
PDN Donors,"4,260.00000",0.00000,"4,260.00",
PDN Donors,"4,352.00000",0.00000,"4,352.00",
PDN Donors,"4,235.00000",0.00000,"4,235.00",
RR Donors,"2,708.00000",0.00000,"2,708.00",2022-10-01
PDN Donors,"5,614.00000",0.00000,"5,614.00",
PDN Donors,"5,077.00000",0.00000,"5,077.00",
RR Donors,"2,716.00000",0.00000,"2,716.00",2021-02-01
PDN Donors,"4,692.00000",0.00000,"4,692.00",
BN Donors,"2,721.00000",0.00000,"2,721.00",2022-09-01
PDN Donors,"4,350.00000",0.00000,"4,350.00",
CER Donors,"2,734.00000",0.00000,"2,734.00",2021-09-01
PDN Donors,"4,336.00000",0.00000,"4,336.00",
ALA Donors,"2,740.00000",0.00000,"2,740.00",2021-01-01
CC Donors,"2,742.00000",0.00000,"2,742.00",2024-02-01
RR Donors,"2,746.00000",0.00000,"2,746.00",2024-02-01
RR Donors,"2,746.00000",0.00000,"2,746.00",2022-04-01
CER Donors,"2,754.00000",0.00000,"2,754.00",2019-12-01
MNL Donors,"2,755.00000",0.00000,"2,755.00",2019-03-01
BN Donors,"2,756.00000",0.00000,"2,756.00",2023-11-01
FRM Donors,"2,760.00000",0.00000,"2,760.00",2021-01-01
PDN Donors,"4,374.00000",0.00000,"4,374.00",
PDN Donors,"4,951.00000",0.00000,"4,951.00",
PDN Donors,"5,143.00000",0.00000,"5,143.00",
PDN Donors,"4,652.00000",0.00000,"4,652.00",
MNL Donors,"2,767.00000",0.00000,"2,767.00",2021-01-01
RR Donors,"2,770.00000",0.00000,"2,770.00",2020-12-01
BN Donors,"2,772.00000",0.00000,"2,772.00",2021-02-01
PDN Donors,"4,405.00000",0.00000,"4,405.00",
PDN Donors,"5,112.00000",0.00000,"5,112.00",
PDN Donors,"4,923.00000",0.00000,"4,923.00",
BN Donors,"2,780.00000",0.00000,"2,780.00",2022-03-01
PDN Donors,"4,181.00000",0.00000,"4,181.00",
PDN Donors,"4,554.00000",0.00000,"4,554.00",
PDN Donors,"5,347.00000",0.00000,"5,347.00",
PDN Donors,"5,600.00000",0.00000,"5,600.00",
PDN Donors,"5,282.00000",0.00000,"5,282.00",
PDN Donors,"4,638.00000",0.00000,"4,638.00",
BN Donors,"2,789.00000",0.00000,"2,789.00",2024-02-01
RR Donors,"2,796.00000",0.00000,"2,796.00",2023-03-01
BN Donors,"2,797.00000",0.00000,"2,797.00",2023-10-01
PDN Donors,"4,977.00000",0.00000,"4,977.00",
BN Donors,"2,802.00000",0.00000,"2,802.00",2024-03-01
CER Donors,"2,804.00000",0.00000,"2,804.00",2021-08-01
FRM Donors,"2,805.00000",0.00000,"2,805.00",2020-10-01
BN Donors,"2,808.00000",0.00000,"2,808.00",2020-12-01
MNL Donors,"2,818.00000",0.00000,"2,818.00",2019-04-01
BN Donors,"2,821.00000",0.00000,"2,821.00",2019-12-01
BN Donors,"2,828.00000",0.00000,"2,828.00",2022-10-01
BN Donors,"2,828.00000",0.00000,"2,828.00",2023-09-01
FRM Donors,"2,829.00000",0.00000,"2,829.00",2021-09-01
RR Donors,"2,849.00000",0.00000,"2,849.00",2023-09-01
MNL Donors,"2,855.00000",0.00000,"2,855.00",2020-02-01
RR Donors,"2,863.00000",0.00000,"2,863.00",2022-12-01
CC Donors,"2,863.00000",0.00000,"2,863.00",2021-04-01
CER Donors,"2,864.00000",0.00000,"2,864.00",2021-06-01
CER Donors,"2,872.00000",0.00000,"2,872.00",2023-01-01
CER Donors,"2,877.00000",0.00000,"2,877.00",2021-05-01
MNL Donors,"4,240.00000",0.00000,"4,240.00",
MNL Donors,"2,881.00000",0.00000,"2,881.00",2019-08-01
MNL Donors,"2,883.00000",0.00000,"2,883.00",2023-11-01
BN Donors,"2,884.00000",0.00000,"2,884.00",2023-06-01
CC Donors,"2,885.00000",0.00000,"2,885.00",2019-08-01
MNL Donors,"2,886.00000",0.00000,"2,886.00",2020-01-01
MNL Donors,"5,556.00000",0.00000,"5,556.00",
RR Donors,"2,887.00000",0.00000,"2,887.00",2021-09-01
CER Donors,"2,888.00000",0.00000,"2,888.00",2023-08-01
CC Donors,"2,891.00000",0.00000,"2,891.00",2023-12-01
FRM Donors,"2,891.00000",0.00000,"2,891.00",2019-05-01
BN Donors,"2,901.00000",0.00000,"2,901.00",2021-06-01
CER Donors,"2,992.00000",82.00000,"2,910.00",2021-10-01
BN Donors,"2,911.00000",0.00000,"2,911.00",2023-12-01
MNL Donors,"2,912.00000",0.00000,"2,912.00",2021-05-01
CER Donors,"2,914.00000",0.00000,"2,914.00",2021-04-01
CER Donors,"2,919.00000",0.00000,"2,919.00",2022-06-01
RR Donors,"3,035.00000",114.00000,"2,921.00",2021-10-01
CER Donors,"2,923.00000",0.00000,"2,923.00",2019-01-01
MNL Donors,"4,323.00000",0.00000,"4,323.00",
RR Donors,"2,926.00000",0.00000,"2,926.00",2022-09-01
MNL Donors,"4,506.00000",0.00000,"4,506.00",
MNL Donors,"4,884.00000",0.00000,"4,884.00",
MNL Donors,"7,278.00000",0.00000,"7,278.00",
MNL Donors,"5,233.00000",0.00000,"5,233.00",
MNL Donors,"6,526.00000",0.00000,"6,526.00",
MNL Donors,"6,295.00000",0.00000,"6,295.00",
MNL Donors,"5,584.00000",0.00000,"5,584.00",
MNL Donors,"5,432.00000",0.00000,"5,432.00",
MNL Donors,"4,757.00000",0.00000,"4,757.00",
MNL Donors,"4,284.00000",0.00000,"4,284.00",
GLP Donors,"2,937.00000",0.00000,"2,937.00",2023-06-01
MNL Donors,"2,937.00000",0.00000,"2,937.00",2020-05-01
FRM Donors,"2,941.00000",0.00000,"2,941.00",2019-09-01
MNL Donors,"4,958.00000",0.00000,"4,958.00",
MNL Donors,"5,010.00000",0.00000,"5,010.00",
MNL Donors,"6,294.00000",0.00000,"6,294.00",
MNL Donors,"6,484.00000",0.00000,"6,484.00",
MNL Donors,"6,820.00000",0.00000,"6,820.00",
MNL Donors,"4,851.00000",0.00000,"4,851.00",
MNL Donors,"2,954.00000",0.00000,"2,954.00",2024-01-01
BN Donors,"2,957.00000",0.00000,"2,957.00",2022-08-01
SM Donors,"2,959.00000",0.00000,"2,959.00",2024-02-01
FRM Donors,"2,959.00000",0.00000,"2,959.00",2019-11-01
BN Donors,"2,959.00000",0.00000,"2,959.00",2020-07-01
CER Donors,"2,967.00000",0.00000,"2,967.00",2019-03-01
MNL Donors,"2,970.00000",0.00000,"2,970.00",2020-09-01
FRM Donors,"2,973.00000",0.00000,"2,973.00",2019-04-01
SM Donors,"2,975.00000",0.00000,"2,975.00",2020-03-01
CC Donors,"2,976.00000",0.00000,"2,976.00",2019-04-01
CER Donors,"2,979.00000",0.00000,"2,979.00",2020-12-01
FRM Donors,"2,981.00000",0.00000,"2,981.00",2019-01-01
RR Donors,"2,985.00000",0.00000,"2,985.00",2019-11-01
CER Donors,"2,989.00000",0.00000,"2,989.00",2019-07-01
CER Donors,"2,994.00000",0.00000,"2,994.00",2019-10-01
BN Donors,"2,997.00000",0.00000,"2,997.00",2020-09-01
CC Donors,"2,998.00000",0.00000,"2,998.00",2020-01-01
ALA Donors,"3,007.00000",0.00000,"3,007.00",2023-05-01
FRM Donors,"3,016.00000",0.00000,"3,016.00",2019-10-01
CER Donors,"3,017.00000",0.00000,"3,017.00",2022-11-01
CER Donors,"3,019.00000",0.00000,"3,019.00",2022-03-01
RR Donors,"3,021.00000",0.00000,"3,021.00",2022-08-01
RR Donors,"3,023.00000",0.00000,"3,023.00",2021-11-01
BN Donors,"3,034.00000",0.00000,"3,034.00",2024-01-01
FRM Donors,"3,038.00000",0.00000,"3,038.00",2022-02-01
BN Donors,"3,047.00000",0.00000,"3,047.00",2022-01-01
MNL Donors,"3,049.00000",0.00000,"3,049.00",2019-12-01
MNL Donors,"3,050.00000",0.00000,"3,050.00",2021-06-01
MNL Donors,"3,054.00000",0.00000,"3,054.00",2023-12-01
RR Donors,"3,055.00000",0.00000,"3,055.00",2019-01-01
CER Donors,"3,056.00000",0.00000,"3,056.00",2022-09-01
CER Donors,"3,061.00000",0.00000,"3,061.00",2021-01-01
MNL Donors,"3,062.00000",0.00000,"3,062.00",2019-06-01
CER Donors,"3,082.00000",0.00000,"3,082.00",2022-10-01
CER Donors,"3,092.00000",0.00000,"3,092.00",2019-06-01
RR Donors,"3,098.00000",0.00000,"3,098.00",2022-03-01
BN Donors,431.00000,0.00000,431.00,
BN Donors,541.00000,0.00000,541.00,
BN Donors,"3,111.00000",0.00000,"3,111.00",2023-08-01
FRM Donors,"3,114.00000",0.00000,"3,114.00",2023-02-01
CC Donors,"3,116.00000",0.00000,"3,116.00",2019-06-01
BN Donors,"4,845.00000",0.00000,"4,845.00",
CER Donors,"3,123.00000",0.00000,"3,123.00",2022-08-01
BN Donors,"3,127.00000",0.00000,"3,127.00",2020-10-01
FRM Donors,"3,129.00000",0.00000,"3,129.00",2019-12-01
RR Donors,"3,131.00000",0.00000,"3,131.00",2021-12-01
CER Donors,"3,132.00000",0.00000,"3,132.00",2023-03-01
PDN Donors,"3,134.00000",0.00000,"3,134.00",2019-02-01
RR Donors,"3,135.00000",0.00000,"3,135.00",2024-05-01
RR Donors,"3,135.00000",0.00000,"3,135.00",2023-08-01
BN Donors,"3,153.00000",0.00000,"3,153.00",2021-04-01
FRM Donors,"3,155.00000",0.00000,"3,155.00",2019-07-01
RR Donors,"3,168.00000",0.00000,"3,168.00",2023-11-01
PDN Donors,"3,266.00000",94.00000,"3,172.00",2021-10-01
RR Donors,"3,175.00000",0.00000,"3,175.00",2023-10-01
RR Donors,"3,176.00000",0.00000,"3,176.00",2020-02-01
RR Donors,"3,176.00000",0.00000,"3,176.00",2022-06-01
CC Donors,"3,181.00000",0.00000,"3,181.00",2019-12-01
CC Donors,"3,182.00000",0.00000,"3,182.00",2019-01-01
FRM Donors,"3,182.00000",0.00000,"3,182.00",2019-03-01
RR Donors,"3,189.00000",0.00000,"3,189.00",2022-05-01
MNL Donors,"3,191.00000",0.00000,"3,191.00",2019-10-01
CC Donors,"3,197.00000",0.00000,"3,197.00",2022-02-01
BN Donors,"3,201.00000",0.00000,"3,201.00",2023-07-01
SM Donors,"3,211.00000",0.00000,"3,211.00",2019-02-01
FRM Donors,"3,211.00000",0.00000,"3,211.00",2021-12-01
CC Donors,"3,212.00000",0.00000,"3,212.00",2020-12-01
FRM Donors,"3,215.00000",0.00000,"3,215.00",2020-09-01
CER Donors,"3,217.00000",0.00000,"3,217.00",2019-08-01
FRM Donors,"3,235.00000",0.00000,"3,235.00",2020-01-01
PDN Donors,"3,235.00000",0.00000,"3,235.00",2022-02-01
RR Donors,"3,242.00000",0.00000,"3,242.00",2023-12-01
CC Donors,"3,259.00000",0.00000,"3,259.00",2022-04-01
CER Donors,"3,263.00000",0.00000,"3,263.00",2021-07-01
RR Donors,"3,265.00000",0.00000,"3,265.00",2023-04-01
Donors - GoodDeeds,294.00000,0.00000,294.00,
CER Donors,"3,269.00000",0.00000,"3,269.00",2022-07-01
Donors - GoodDeeds,716.00000,0.00000,716.00,
FRM Donors,"3,270.00000",0.00000,"3,270.00",2020-06-01
CC Donors,"3,272.00000",0.00000,"3,272.00",2021-02-01
Donors - GoodDeeds,225.00000,0.00000,225.00,
Donors - GoodDeeds,313.00000,0.00000,313.00,
Donors - GoodDeeds,32.00000,0.00000,32.00,
Donors - GoodDeeds,13.00000,0.00000,13.00,
BN Donors,"3,274.00000",0.00000,"3,274.00",2022-07-01
CER Donors,"3,277.00000",0.00000,"3,277.00",2020-10-01
RR Donors,"3,278.00000",0.00000,"3,278.00",2020-10-01
RR Donors,"3,279.00000",0.00000,"3,279.00",2023-01-01
PDN Donors,"3,283.00000",0.00000,"3,283.00",2023-02-01
CC Donors,"3,319.00000",0.00000,"3,319.00",2023-02-01
PDN Donors,"3,326.00000",0.00000,"3,326.00",2020-05-01
SM Donors,"3,332.00000",0.00000,"3,332.00",2024-03-01
RR Donors,"3,333.00000",0.00000,"3,333.00",2019-05-01
BN Donors,"3,347.00000",0.00000,"3,347.00",2020-08-01
FRM Donors,"3,468.00000",117.00000,"3,351.00",2021-10-01
CER Donors,"3,355.00000",0.00000,"3,355.00",2024-05-01
RR Donors,"3,356.00000",0.00000,"3,356.00",2021-04-01
RR Donors,"3,360.00000",0.00000,"3,360.00",2021-03-01
RR Donors,"3,362.00000",0.00000,"3,362.00",2022-01-01
PDN Donors,"3,365.00000",0.00000,"3,365.00",2022-01-01
RR Donors,"3,376.00000",0.00000,"3,376.00",2024-03-01
CER Donors,"3,379.00000",0.00000,"3,379.00",2019-04-01
SM Donors,"3,381.00000",0.00000,"3,381.00",2020-02-01
CC Donors,"3,394.00000",0.00000,"3,394.00",2020-07-01
CER Donors,"3,404.00000",0.00000,"3,404.00",2023-04-01
CC Donors,"3,408.00000",0.00000,"3,408.00",2021-03-01
CER Donors,"3,411.00000",0.00000,"3,411.00",2023-06-01
CC Donors,"3,413.00000",0.00000,"3,413.00",2024-04-01
RR Donors,"3,420.00000",0.00000,"3,420.00",2024-01-01
MNL Donors,"3,425.00000",0.00000,"3,425.00",2021-12-01
RR Donors,"3,429.00000",0.00000,"3,429.00",2022-07-01
CER Donors,"3,447.00000",0.00000,"3,447.00",2023-05-01
CER Donors,"3,459.00000",0.00000,"3,459.00",2023-07-01
FRM Donors,"3,465.00000",0.00000,"3,465.00",2020-08-01
PDN Donors,"3,465.00000",0.00000,"3,465.00",2019-04-01
BN Donors,"3,468.00000",0.00000,"3,468.00",2020-06-01
FRM Donors,"3,470.00000",0.00000,"3,470.00",2019-08-01
FRM Donors,"3,496.00000",0.00000,"3,496.00",2021-03-01
SM Donors,"3,498.00000",0.00000,"3,498.00",2023-11-01
CER Donors,"3,522.00000",0.00000,"3,522.00",2019-09-01
FRM Donors,"3,524.00000",0.00000,"3,524.00",2019-06-01
RR Donors,"3,525.00000",0.00000,"3,525.00",2019-09-01
MNL Donors,"3,526.00000",0.00000,"3,526.00",2019-05-01
BN Donors,"3,529.00000",0.00000,"3,529.00",2021-03-01
BN Donors,"3,533.00000",0.00000,"3,533.00",2021-01-01
FRM Donors,"3,540.00000",0.00000,"3,540.00",2021-05-01
MNL Donors,"3,556.00000",0.00000,"3,556.00",2022-02-01
FRM Donors,"3,558.00000",0.00000,"3,558.00",2021-08-01
CC Donors,"3,561.00000",0.00000,"3,561.00",2024-03-01
RR Donors,"3,563.00000",0.00000,"3,563.00",2019-10-01
BN Donors,"3,574.00000",0.00000,"3,574.00",2021-05-01
CER Donors,"3,598.00000",0.00000,"3,598.00",2020-09-01
PDN Donors,"3,608.00000",0.00000,"3,608.00",2021-09-01
SM Donors,"3,627.00000",0.00000,"3,627.00",2023-12-01
FRM Donors,"3,631.00000",0.00000,"3,631.00",2022-04-01
CC Donors,"3,638.00000",0.00000,"3,638.00",2020-05-01
FRM Donors,"3,643.00000",0.00000,"3,643.00",2022-01-01
PDN Donors,"3,644.00000",0.00000,"3,644.00",2021-02-01
MNL Donors,"3,658.00000",0.00000,"3,658.00",2020-08-01
BN Donors,"3,672.00000",0.00000,"3,672.00",2023-05-01
CC Donors,"3,675.00000",0.00000,"3,675.00",2022-12-01
FRM Donors,"3,675.00000",0.00000,"3,675.00",2023-03-01
FRM Donors,"3,677.00000",0.00000,"3,677.00",2021-11-01
Home Pickup and Community Works Donors,87.00000,0.00000,87.00,
Home Pickup and Community Works Donors,92.00000,0.00000,92.00,
Home Pickup and Community Works Donors,122.00000,0.00000,122.00,
Home Pickup and Community Works Donors,124.00000,0.00000,124.00,
Home Pickup and Community Works Donors,144.00000,0.00000,144.00,
Home Pickup and Community Works Donors,140.00000,0.00000,140.00,
Home Pickup and Community Works Donors,110.00000,0.00000,110.00,
Home Pickup and Community Works Donors,104.00000,0.00000,104.00,
Home Pickup and Community Works Donors,113.00000,0.00000,113.00,
Home Pickup and Community Works Donors,114.00000,0.00000,114.00,
Home Pickup and Community Works Donors,87.00000,0.00000,87.00,
Home Pickup and Community Works Donors,100.00000,0.00000,100.00,
Home Pickup and Community Works Donors,142.00000,0.00000,142.00,
Home Pickup and Community Works Donors,85.00000,0.00000,85.00,
Home Pickup and Community Works Donors,113.00000,0.00000,113.00,
Home Pickup and Community Works Donors,187.00000,0.00000,187.00,
Home Pickup and Community Works Donors,103.00000,0.00000,103.00,
